participant,group,age,gender,l1,partA_simplicity_iai,partA_simplicity_tp,partB_acc_iai,partB_acc_tp,partC_recall_48h
p000,FR,53,F,fr,4.55,3.55,0.44,0.3,0.67
p001,GE,60,M,ka,4.56,3.19,0.44,0.27,0.62
p002,RU,46,M,ru,5.4,3.56,0.7,0.3,0.46
p003,AR,41,M,ar,4.81,4.91,0.48,0.17,0.44
p004,EN,59,M,en,5.96,4.07,0.74,0.23,0.62
p005,RU,33,F,ru,5.91,3.09,0.44,0.21,0.43
p006,GE,36,F,ka,5.06,4.27,0.5,0.22,0.48
p007,ES,54,F,es,5.57,3.49,0.53,0.2,0.77
p008,ZH,36,F,zh,6.19,4.55,0.44,0.16,0.53
p009,RU,60,M,ru,6.33,4.13,0.64,0.19,0.6
p010,ES,56,M,es,5.03,3.49,0.57,0.2,0.63
p011,ZH,26,F,zh,4.94,5.0,0.55,0.17,0.42
p012,ES,52,M,es,6.08,3.84,0.38,0.23,0.8
p013,EN,40,F,en,5.86,3.23,0.7,0.3,0.71
p014,AR,51,F,ar,5.37,3.91,0.73,0.33,0.51
p015,FR,29,F,fr,6.24,3.6,0.61,0.27,0.46
p016,ZH,34,F,zh,5.48,3.22,0.5,0.35,0.72
p017,RU,53,F,ru,6.26,4.89,0.38,0.25,0.43
p018,ES,32,F,es,5.82,4.89,0.42,0.26,0.64
p019,AR,34,F,ar,5.3,4.34,0.5,0.33,0.58
p020,FR,59,F,fr,5.18,4.18,0.44,0.19,0.43
p021,RU,50,F,ru,4.63,3.06,0.48,0.25,0.51
p022,ES,45,F,es,5.95,4.76,0.58,0.2,0.59
p023,FR,60,F,fr,4.69,3.86,0.52,0.24,0.69
p024,EN,47,F,en,5.31,3.68,0.69,0.2,0.48
p025,GE,54,F,ka,4.87,3.93,0.7,0.17,0.72
p026,EN,34,F,en,5.8,4.08,0.36,0.17,0.7
p027,GE,43,M,ka,5.47,3.43,0.51,0.16,0.55
p028,TP,50,F,en,5.07,4.39,0.64,0.31,0.66
p029,RU,22,F,ru,5.09,4.94,0.58,0.26,0.7
p030,TP,30,F,en,5.51,4.71,0.41,0.34,0.43
p031,FR,57,F,fr,5.85,3.47,0.4,0.33,0.5
p032,FR,39,F,fr,5.34,4.17,0.56,0.34,0.48
p033,AR,23,F,ar,5.29,4.34,0.47,0.21,0.7
p034,TP,27,M,en,5.74,4.13,0.39,0.26,0.6
p035,FR,58,F,fr,6.26,3.74,0.41,0.32,0.68
p036,AR,54,F,ar,6.36,3.21,0.7,0.2,0.76
p037,AR,51,M,ar,5.06,3.42,0.49,0.29,0.74
p038,AR,19,M,ar,6.31,4.69,0.39,0.23,0.51
p039,ES,19,F,es,5.77,3.52,0.65,0.26,0.57
